#F[MHz],F [Hz],A2[V],PM2[V]
0.80000000 ,800000.00 ,2.25,3.58
0.90000000 ,900000.00 ,2.380 ,3.380 
1.00000000 ,1000000.00 ,2.470 ,3.230 
1.10000000 ,1100000.00 ,2.560 ,3.100 
1.20000000 ,1200000.00 ,2.680 ,3.000 
1.30000000 ,1300000.00 ,2.770 ,2.920 
1.40000000 ,1400000.00 ,2.830 ,2.850 
1.50000000 ,1500000.00 ,2.840 ,2.786 
1.60000000 ,1600000.00 ,2.830 ,2.763 
1.70000000 ,1700000.00 ,2.810 ,2.724 
1.80000000 ,1800000.00 ,2.770 ,2.681 
1.90000000 ,1900000.00 ,2.700 ,2.649 
2.00000000 ,2000000.00 ,2.640 ,2.616 
2.10000000 ,2100000.00 ,2.540 ,2.586 
2.20000000 ,2200000.00 ,2.410 ,2.552 
2.30000000 ,2300000.00 ,2.280 ,2.515 
2.40000000 ,2400000.00 ,2.170 ,2.477 
2.50000000 ,2500000.00 ,2.110 ,2.432 
2.60000000 ,2600000.00 ,2.040 ,2.387 
2.70000000 ,2700000.00 ,2.050 ,2.341 
2.80000000 ,2800000.00 ,2.090 ,2.300 
2.90000000 ,2900000.00 ,2.190 ,2.263 
3.00000000 ,3000000.00 ,2.330 ,2.233 
3.10000000 ,3100000.00 ,2.450 ,2.212 
3.20000000 ,3200000.00 ,2.570 ,2.198 
3.30000000 ,3300000.00 ,2.670 ,2.190 
3.40000000 ,3400000.00 ,2.790 ,2.188 
3.50000000 ,3500000.00 ,2.870 ,2.194 
3.60000000 ,3600000.00 ,2.910 ,2.203 
3.70000000 ,3700000.00 ,2.910 ,2.211 
3.80000000 ,3800000.00 ,2.960 ,2.224 
3.90000000 ,3900000.00 ,3.050 ,2.235 
4.00000000 ,4000000.00 ,3.100 ,2.252 
4.10000000 ,4100000.00 ,3.150 ,2.272 
4.20000000 ,4200000.00 ,3.130 ,2.294 
4.30000000 ,4300000.00 ,3.100 ,2.316 
4.40000000 ,4400000.00 ,3.010 ,2.339 
4.50000000 ,4500000.00 ,2.950 ,2.355 
4.60000000 ,4600000.00 ,2.880 ,2.371 
4.70000000 ,4700000.00 ,2.800 ,2.381 
4.80000000 ,4800000.00 ,2.690 ,2.385 
4.90000000 ,4900000.00 ,2.650 ,2.379 
5.00000000 ,5000000.00 ,2.590 ,2.365 
