#F[MHz],F [Hz],A2[V],PM2[V]
0.8,800000,2.36,3.41
0.9,900000,2.45,3.24
1,1000000,2.65,3.1
1.1,1100000,2.75,2.99
1.2,1200000,2.83,2.89
1.3,1300000,2.9,2.81
1.4,1400000,2.91,2.74
1.5,1500000,2.94,2.677
1.6,1600000,2.973,2.657
1.7,1700000,2.946,2.617
1.8,1800000,2.884,2.576
1.9,1900000,2.82,2.543
2,2000000,2.725,2.512
2.1,2100000,2.615,2.482
2.2,2200000,2.493,2.45
2.3,2300000,2.365,2.415
2.4,2400000,2.27,2.375
2.5,2500000,2.205,2.336
2.6,2600000,2.115,2.289
2.7,2700000,2.11,2.242
2.8,2800000,2.13,2.202
2.9,2900000,2.205,2.163
3,3000000,2.335,2.132
3.1,3100000,2.47,2.11
3.2,3200000,2.59,2.096
3.3,3300000,2.75,2.088
3.4,3400000,2.89,2.088
3.5,3500000,3.01,2.094
3.6,3600000,3.085,2.106
3.7,3700000,3.04,2.121
3.8,3800000,3.05,2.13
3.9,3900000,3.1,2.142
4,4000000,3.14,2.158
4.1,4100000,3.2,2.18
4.2,4200000,3.18,2.202
4.3,4300000,3.105,2.224
4.4,4400000,3.035,2.244
4.5,4500000,2.955,2.262
4.6,4600000,2.905,2.275
4.7,4700000,2.835,2.287
4.8,4800000,2.715,2.29
4.9,4900000,2.64,2.283
5,5000000,2.626,2.272
