#F[MHz],F [Hz],A2[V],PM2[V]
0.8,800000,2.65,3.13
0.9,900000,2.810 ,2.990 
1,1000000,2.960 ,2.825 
1.1,1100000,3.020 ,2.738 
1.2,1200000,3.070 ,2.640 
1.3,1300000,3.060 ,2.547 
1.4,1400000,3.060 ,2.463 
1.5,1500000,3.060 ,2.386 
1.6,1600000,3.060 ,2.366 
1.7,1700000,3.030 ,2.309 
1.8,1800000,2.950 ,2.267 
1.9,1900000,2.840 ,2.207 
2,2000000,2.780 ,2.160 
2.1,2100000,2.640 ,2.116 
2.2,2200000,2.490 ,2.063 
2.3,2300000,2.340 ,2.010 
2.4,2400000,2.265 ,1.955 
2.5,2500000,2.161 ,1.902 
2.6,2600000,2.101 ,1.838 
2.7,2700000,2.110 ,1.783 
2.8,2800000,2.120 ,1.733 
2.9,2900000,2.210 ,1.683 
3,3000000,2.320 ,1.660 
3.1,3100000,2.480 ,1.625 
3.2,3200000,2.640 ,1.580 
3.3,3300000,2.820 ,1.553 
3.4,3400000,2.970 ,1.539 
3.5,3500000,3.040 ,1.525 
3.6,3600000,3.080 ,1.517 
3.7,3700000,3.080 ,1.511 
3.8,3800000,3.110 ,1.504 
3.9,3900000,3.170 ,1.498 
4,4000000,3.260 ,1.497 
4.1,4100000,3.290 ,1.498 
4.2,4200000,3.340 ,1.502 
4.3,4300000,3.300 ,1.504 
4.4,4400000,3.230 ,1.506 
4.5,4500000,3.150 ,1.500 
4.6,4600000,3.100 ,1.498 
4.7,4700000,3.000 ,1.488 
4.8,4800000,2.890 ,1.472 
4.9,4900000,2.820 ,1.447 
5,5000000,2.760 ,1.418 
