#F[MHz],F [Hz],A2[V],PM2[V]
0.80 , 800000.00 ,2.22,3.497
0.90 , 900000.00 ,2.320 ,3.310 
1.00 ,1000000.00 ,2.450 ,3.159 
1.10 ,1100000.00 ,2.575 ,3.041 
1.20 ,1200000.00 ,2.670 ,2.944 
1.30 ,1300000.00 ,2.720 ,2.864 
1.40 ,1400000.00 ,2.780 ,2.795 
1.50 ,1500000.00 ,2.780 ,2.731 
1.60 ,1600000.00 ,2.780 ,2.712
1.70 ,1700000.00 ,2.740 ,2.672 
1.80 ,1800000.00 ,2.700 ,2.631 
1.90 ,1900000.00 ,2.670 ,2.600 
2.00 ,2000000.00 ,2.590 ,2.569 
2.10 ,2100000.00 ,2.480 ,2.539 
2.20 ,2200000.00 ,2.360 ,2.507 
2.30 ,2300000.00 ,2.250 ,2.469 
2.40 ,2400000.00 ,2.150 ,2.430 
2.50 ,2500000.00 ,2.070 ,2.386 
2.60 ,2600000.00 ,2.020 ,2.340 
2.70 ,2700000.00 ,2.010 ,2.294 
2.80 ,2800000.00 ,2.050 ,2.252 
2.90 ,2900000.00 ,2.120 ,2.215 
3.00 ,3000000.00 ,2.230 ,2.184 
3.10 ,3100000.00 ,2.380 ,2.163 
3.20 ,3200000.00 ,2.510 ,2.148 
3.30 ,3300000.00 ,2.650 ,2.139 
3.40 ,3400000.00 ,2.780 ,2.138 
3.50 ,3500000.00 ,2.880 ,2.143 
3.60 ,3600000.00 ,2.920 ,2.154 
3.70 ,3700000.00 ,2.910 ,2.164 
3.80 ,3800000.00 ,2.940 ,2.174 
3.90 ,3900000.00 ,3.000 ,2.187 
4.00 ,4000000.00 ,3.050 ,2.203 
4.10 ,4100000.00 ,3.090 ,2.223 
4.20 ,4200000.00 ,3.080 ,2.245 
4.30 ,4300000.00 ,3.050 ,2.266 
4.40 ,4400000.00 ,2.970 ,2.286 
4.50 ,4500000.00 ,2.880 ,2.302 
4.60 ,4600000.00 ,2.820 ,2.316 
4.70 ,4700000.00 ,2.770 ,2.327 
4.80 ,4800000.00 ,2.670 ,2.328 
4.90 ,4900000.00 ,2.590 ,2.322 
5.00 ,5000000.00 ,2.570 ,2.308 
