#F[MHz],F [Hz],A2[V],PM2[V]
0.80000000 ,800000.00 ,2.27,3.6
0.90000000 ,900000.00 ,2.410 ,3.402 
1.00000000 ,1000000.00 ,2.530 ,3.241 
1.10000000 ,1100000.00 ,2.620 ,3.117 
1.20000000 ,1200000.00 ,2.730 ,3.017 
1.30000000 ,1300000.00 ,2.800 ,2.933 
1.40000000 ,1400000.00 ,2.850 ,2.863 
1.50000000 ,1500000.00 ,2.890 ,2.796 
1.60000000 ,1600000.00 ,2.870 ,2.770 
1.70000000 ,1700000.00 ,2.840 ,2.732 
1.80000000 ,1800000.00 ,2.800 ,2.689 
1.90000000 ,1900000.00 ,2.750 ,2.655 
2.00000000 ,2000000.00 ,2.670 ,2.624 
2.10000000 ,2100000.00 ,2.592 ,2.570 
2.20000000 ,2200000.00 ,2.440 ,2.558 
2.30000000 ,2300000.00 ,2.310 ,2.520 
2.40000000 ,2400000.00 ,2.210 ,2.482 
2.50000000 ,2500000.00 ,2.130 ,2.436 
2.60000000 ,2600000.00 ,2.070 ,2.390 
2.70000000 ,2700000.00 ,2.090 ,2.345 
2.80000000 ,2800000.00 ,2.140 ,2.302 
2.90000000 ,2900000.00 ,2.220 ,2.264 
3.00000000 ,3000000.00 ,2.350 ,2.235 
3.10000000 ,3100000.00 ,2.500 ,2.212 
3.20000000 ,3200000.00 ,2.630 ,2.198 
3.30000000 ,3300000.00 ,2.760 ,2.191 
3.40000000 ,3400000.00 ,2.900 ,2.188 
3.50000000 ,3500000.00 ,2.990 ,2.194 
3.60000000 ,3600000.00 ,3.010 ,2.203 
3.70000000 ,3700000.00 ,3.010 ,2.214 
3.80000000 ,3800000.00 ,3.040 ,2.227 
3.90000000 ,3900000.00 ,3.120 ,2.239 
4.00000000 ,4000000.00 ,3.180 ,2.256 
4.10000000 ,4100000.00 ,3.230 ,2.278 
4.20000000 ,4200000.00 ,3.210 ,2.300 
4.30000000 ,4300000.00 ,3.180 ,2.321 
4.40000000 ,4400000.00 ,3.080 ,2.342 
4.50000000 ,4500000.00 ,3.010 ,2.358 
4.60000000 ,4600000.00 ,2.950 ,2.372 
4.70000000 ,4700000.00 ,2.870 ,2.385 
4.80000000 ,4800000.00 ,2.770 ,2.389 
