#F[MHz],F [Hz],A2[V],PM2[V]
0.80,800000.00,2.26,3.52
0.90,900000.00,2.35,3.32
1.00,1000000.00,2.502,3.166
1.10,1100000.00,2.58,3.043
1.20,1200000.00,2.66,2.946
1.30,1300000.00,2.75,2.864
1.40,1400000.00,2.755,2.79
1.50,1500000.00,2.778,2.73
1.60,1600000.00,2.775,2.705
1.70,1700000.00,2.754,2.661
1.80,1800000.00,2.71,2.621
1.90,1900000.00,2.64,2.586
2.00,2000000.00,2.556,2.57
2.10,2100000.00,2.478,2.524
2.20,2200000.00,2.343,2.49
2.30,2300000.00,2.22,2.455
2.40,2400000.00,2.14,2.412
2.50,2500000.00,2.053,2.368
2.60,2600000.00,2.003,2.321
2.70,2700000.00,1.997,2.274
2.80,2800000.00,2.047,2.231
2.90,2900000.00,2.12,2.195
3.00,3000000.00,2.27,2.164
3.10,3100000.00,2.38,2.144
3.20,3200000.00,2.51,2.126
3.30,3300000.00,2.62,2.116
3.40,3400000.00,2.75,2.115
3.50,3500000.00,2.84,2.119
3.60,3600000.00,2.9,2.125
3.70,3700000.00,2.91,2.134
3.80,3800000.00,2.96,2.143
3.90,3900000.00,3.02,2.153
4.00,4000000.00,3.08,2.168
4.10,4100000.00,3.13,2.188
4.20,4200000.00,3.11,2.208
4.30,4300000.00,3.08,2.228
4.40,4400000.00,3.02,2.248
4.50,4500000.00,2.97,2.263
4.60,4600000.00,2.91,2.28
4.70,4700000.00,2.839,2.291
4.80,4800000.00,2.72,2.29
4.90,4900000.00,2.66,2.284
5.00,5000000.00,2.62,2.27
