#F[MHz],F [Hz],A2[V],PM2[V]
0.80000000 ,800000.00 ,2.41,3.505
0.90000000 ,900000.00 ,2.560 ,3.320 
1.00000000 ,1000000.00 ,2.680 ,3.177 
1.10000000 ,1100000.00 ,2.790 ,3.060 
1.20000000 ,1200000.00 ,2.860 ,2.961 
1.30000000 ,1300000.00 ,2.920 ,2.878 
1.40000000 ,1400000.00 ,2.980 ,2.808 
1.50000000 ,1500000.00 ,2.970 ,2.741 
1.60000000 ,1600000.00 ,2.990 ,2.718 
1.70000000 ,1700000.00 ,2.980 ,2.676 
1.80000000 ,1800000.00 ,2.910 ,2.636 
1.90000000 ,1900000.00 ,2.850 ,2.601 
2.00000000 ,2000000.00 ,2.750 ,2.569 
2.10000000 ,2100000.00 ,2.650 ,2.538 
2.20000000 ,2200000.00 ,2.500 ,2.504 
2.30000000 ,2300000.00 ,2.400 ,2.466 
2.40000000 ,2400000.00 ,2.300 ,2.426 
2.50000000 ,2500000.00 ,2.200 ,2.383 
2.60000000 ,2600000.00 ,2.140 ,2.338 
2.70000000 ,2700000.00 ,2.120 ,2.290 
2.80000000 ,2800000.00 ,2.170 ,2.248 
2.90000000 ,2900000.00 ,2.230 ,2.211 
3.00000000 ,3000000.00 ,2.360 ,2.180 
3.10000000 ,3100000.00 ,2.490 ,2.157 
3.20000000 ,3200000.00 ,2.640 ,2.143 
3.30000000 ,3300000.00 ,2.780 ,2.136 
3.40000000 ,3400000.00 ,2.920 ,2.134 
3.50000000 ,3500000.00 ,3.030 ,2.139 
3.60000000 ,3600000.00 ,3.080 ,2.150 
3.70000000 ,3700000.00 ,3.070 ,2.164 
3.80000000 ,3800000.00 ,3.060 ,2.176 
3.90000000 ,3900000.00 ,3.110 ,2.187 
4.00000000 ,4000000.00 ,3.200 ,2.204 
4.10000000 ,4100000.00 ,3.240 ,2.226 
4.20000000 ,4200000.00 ,3.220 ,2.246 
4.30000000 ,4300000.00 ,3.180 ,2.269 
4.40000000 ,4400000.00 ,3.070 ,2.290 
4.50000000 ,4500000.00 ,2.980 ,2.304 
4.60000000 ,4600000.00 ,2.940 ,2.319 
4.70000000 ,4700000.00 ,2.850 ,2.332 
4.80000000 ,4800000.00 ,2.760 ,2.335 
4.90000000 ,4900000.00 ,2.690 ,2.328 
5.00000000 ,5000000.00 ,2.670 ,2.317 
