#F[MHz],F [Hz],A2[V],PM2[V]
0.8,800000,2.77,3.18
0.9,900000,2.9,3.04
1,1000000,3.03,2.915
1.1,1100000,3.13,2.807
1.2,1200000,3.19,2.715
1.3,1300000,3.17,2.633
1.4,1400000,3.155,2.554
1.5,1500000,3.15,2.48
1.6,1600000,3.15,2.446
1.7,1700000,3.11,2.398
1.8,1800000,3.03,2.348
1.9,1900000,2.96,2.304
2,2000000,2.87,2.264
2.1,2100000,2.77,2.222
2.2,2200000,2.61,2.178
2.3,2300000,2.46,2.13
2.4,2400000,2.32,2.078
2.5,2500000,2.18,2.02
2.6,2600000,2.1,1.96
2.7,2700000,2.105,1.897
2.8,2800000,2.176,1.843
2.9,2900000,2.25,1.794
3,3000000,2.38,1.753
3.1,3100000,2.547,1.719
3.2,3200000,2.73,1.694
3.3,3300000,2.88,1.672
3.4,3400000,3.04,1.656
3.5,3500000,3.16,1.649
3.6,3600000,3.185,1.646
3.7,3700000,3.15,1.639
3.8,3800000,3.153,1.628
3.9,3900000,3.2,1.619
4,4000000,3.3,1.616
