#F[MHz],F [Hz],A2[V],PM2[V]
1.00000000 ,1000000.00 ,3.450 ,1.870 
1.05000000 ,1050000.00 ,3.330 ,1.820 
1.10000000 ,1100000.00 ,3.320 ,1.770 
1.20000000 ,1200000.00 ,3.270 ,1.660 
1.30000000 ,1300000.00 ,3.300 ,1.550 
1.40000000 ,1400000.00 ,3.250 ,1.446 
1.50000000 ,1500000.00 ,3.221 ,1.340 
1.60000000 ,1600000.00 ,3.213 ,1.262 
1.70000000 ,1700000.00 ,3.152 ,1.182 
1.80000000 ,1800000.00 ,3.060 ,1.094 
1.90000000 ,1900000.00 ,2.990 ,1.021 
2.00000000 ,2000000.00 ,2.855 ,0.953 
2.10000000 ,2100000.00 ,2.770 ,0.890 
2.20000000 ,2200000.00 ,2.580 ,0.820 
2.30000000 ,2300000.00 ,2.440 ,0.760 
2.40000000 ,2400000.00 ,2.320 ,0.700 
2.50000000 ,2500000.00 ,2.222 ,0.630 
2.60000000 ,2600000.00 ,2.128 ,0.560 
2.70000000 ,2700000.00 ,2.124 ,0.500 
2.80000000 ,2800000.00 ,2.167 ,0.447 
2.90000000 ,2900000.00 ,2.290 ,0.400 
3.00000000 ,3000000.00 ,2.390 ,0.354 
3.10000000 ,3100000.00 ,2.570 ,0.330 
3.20000000 ,3200000.00 ,2.720 ,0.295 
3.30000000 ,3300000.00 ,2.870 ,0.274 
3.40000000 ,3400000.00 ,2.980 ,0.257 
3.50000000 ,3500000.00 ,3.110 ,0.254 
3.60000000 ,3600000.00 ,3.140 ,0.244 
3.70000000 ,3700000.00 ,3.110 ,0.241 
3.80000000 ,3800000.00 ,3.107 ,0.240 
3.90000000 ,3900000.00 ,3.109 ,0.235 
4.00000000 ,4000000.00 ,3.260 ,0.240 
